rna-XM_005852746.1	gene-TOMM6	TOMM6
gene-LOC102244080	gene-LOC102244080	LOC102244080
gene-LOC102244378	gene-LOC102244378	LOC102244378
rna-XM_014549716.1	gene-LOC106728213	LOC106728213
rna-XR_001364496.1	gene-LOC106728214	LOC106728214
rna-XM_014549717.1	gene-PCDH9	PCDH9
rna-XM_014549718.1	gene-PCDH9	PCDH9
gene-LOC102244675	gene-LOC102244675	LOC102244675
rna-XM_005878605.2	gene-LOC102242607	LOC102242607
gene-LOC102242918	gene-LOC102242918	LOC102242918
gene-LOC102244971	gene-LOC102244971	LOC102244971
gene-LOC102243223	gene-LOC102243223	LOC102243223
gene-LOC102245269	gene-LOC102245269	LOC102245269
rna-XM_005878606.1	gene-LOC102245567	LOC102245567
gene-LOC106728215	gene-LOC106728215	LOC106728215
rna-XM_005878607.1	gene-LOC102245866	LOC102245866
rna-XM_005878608.1	gene-LOC102246176	LOC102246176
rna-XM_005878609.1	gene-LOC102246486	LOC102246486
rna-XM_005878610.2	gene-LOC102246796	LOC102246796
rna-XM_005878613.2	gene-LOC102246796	LOC102246796
rna-XM_014549720.1	gene-LOC102246796	LOC102246796
rna-XM_005878611.1	gene-LOC102246796	LOC102246796
rna-XM_005878612.2	gene-LOC102246796	LOC102246796
gene-LOC106728216	gene-LOC106728216	LOC106728216
gene-LOC102248567	gene-LOC102248567	LOC102248567
rna-XM_005878617.1	gene-LOC102248874	LOC102248874
rna-XM_014549721.1	gene-CFAP47	CFAP47
rna-XM_005878615.1	gene-LOC102247987	LOC102247987
rna-XM_014549722.1	gene-LOC102250063	LOC102250063
gene-LOC102250363	gene-LOC102250363	LOC102250363
rna-XM_005878616.2	gene-LOC102248276	LOC102248276
rna-XM_014549723.1	gene-LOC106728217	LOC106728217
rna-XM_005878622.2	gene-OLFM4	OLFM4
gene-LOC102251263	gene-LOC102251263	LOC102251263
rna-XM_014549724.1	gene-PCDH8	PCDH8
rna-XM_014549725.1	gene-LOC106728218	LOC106728218
rna-XM_005878624.2	gene-LECT1	LECT1
rna-XM_005878623.2	gene-LECT1	LECT1
rna-XM_005878625.2	gene-SUGT1	SUGT1
rna-XM_014549748.1	gene-SUGT1	SUGT1
rna-XM_014549734.1	gene-ELF1	ELF1
rna-XM_014549731.1	gene-ELF1	ELF1
rna-XM_014549729.1	gene-ELF1	ELF1
rna-XM_014549733.1	gene-ELF1	ELF1
rna-XM_005878626.2	gene-ELF1	ELF1
rna-XM_014549727.1	gene-ELF1	ELF1
rna-XM_014549728.1	gene-ELF1	ELF1
rna-XM_014549732.1	gene-ELF1	ELF1
rna-XM_014549730.1	gene-ELF1	ELF1
rna-TRNAE-UUC-4	gene-TRNAE-UUC-4	TRNAE-UUC
rna-XM_005878628.2	gene-WBP4	WBP4
rna-XM_014549726.1	gene-KBTBD6	KBTBD6
rna-XM_014549749.1	gene-LOC102253430	LOC102253430
rna-XM_014549736.1	gene-MTRF1	MTRF1
rna-XM_014549737.1	gene-MTRF1	MTRF1
rna-XM_014549738.1	gene-MTRF1	MTRF1
rna-XM_014549740.1	gene-MTRF1	MTRF1
rna-XM_005878631.2	gene-MTRF1	MTRF1
rna-XM_014549739.1	gene-MTRF1	MTRF1
rna-XM_014549742.1	gene-LOC102254228	LOC102254228
rna-XM_014549741.1	gene-LOC106723580	LOC106723580
rna-XM_005878641.2	gene-RGCC	RGCC
rna-XM_005878642.2	gene-VWA8	VWA8
rna-XM_014549735.1	gene-VWA8	VWA8
gene-LOC106728220	gene-LOC106728220	LOC106728220
rna-XM_005878636.2	gene-DGKH	DGKH
rna-XM_005878637.2	gene-DGKH	DGKH
rna-XM_014549746.1	gene-DGKH	DGKH
rna-XM_014549745.1	gene-DGKH	DGKH
rna-XM_014549744.1	gene-DGKH	DGKH
rna-XM_014549747.1	gene-DGKH	DGKH
rna-XM_014549743.1	gene-AKAP11	AKAP11
rna-XR_001364499.1	gene-LOC106728221	LOC106728221
gene-LOC102256037	gene-LOC102256037	LOC102256037
gene-LOC102258376	gene-LOC102258376	LOC102258376
rna-XM_014549775.1	gene-ZYG11B	ZYG11B
rna-XM_005878675.1	gene-ZYG11A	ZYG11A
rna-XM_014549787.1	gene-ECHDC2	ECHDC2
rna-XM_005878644.2	gene-ECHDC2	ECHDC2
rna-XM_014549786.1	gene-ECHDC2	ECHDC2
rna-XM_014549760.1	gene-SCP2	SCP2
rna-XM_014549759.1	gene-SCP2	SCP2
rna-XR_001364503.1	gene-LOC106728226	LOC106728226
rna-XM_005878677.2	gene-PODN	PODN
rna-XM_014549761.1	gene-LOC106728225	LOC106728225
rna-XM_005878646.2	gene-SLC1A7	SLC1A7
gene-LOC102243504	gene-LOC102243504	LOC102243504
rna-XM_005878678.2	gene-CPT2	CPT2
rna-XM_014549756.1	gene-LOC102244081	LOC102244081
rna-XM_014549757.1	gene-LOC102244081	LOC102244081
rna-XM_005878648.2	gene-MAGOH	MAGOH
rna-XM_005878680.2	gene-LRP8	LRP8
rna-XR_001364502.1	gene-LOC106728224	LOC106728224
rna-XM_005878681.1	gene-LOC102244676	LOC102244676
rna-XM_005878682.2	gene-DMRTB1	DMRTB1
rna-XR_001364500.1	gene-LOC106728222	LOC106728222
rna-XM_014549789.1	gene-GLIS1	GLIS1
rna-XM_014549790.1	gene-GLIS1	GLIS1
rna-XM_005878649.2	gene-GLIS1	GLIS1
rna-XM_014549791.1	gene-GLIS1	GLIS1
rna-XM_014549783.1	gene-NDC1	NDC1
rna-XM_005878650.2	gene-NDC1	NDC1
rna-XM_005878652.2	gene-NDC1	NDC1
rna-XM_014549784.1	gene-NDC1	NDC1
rna-XM_014549763.1	gene-YIPF1	YIPF1
rna-XM_014549764.1	gene-YIPF1	YIPF1
rna-XM_014549765.1	gene-YIPF1	YIPF1
rna-XR_001364504.1	gene-YIPF1	YIPF1
rna-XM_014549766.1	gene-DIO1	DIO1
rna-XM_014549767.1	gene-DIO1	DIO1
rna-XM_005878653.2	gene-DIO1	DIO1
rna-XM_014549769.1	gene-HSPB11	HSPB11
rna-XM_014549768.1	gene-HSPB11	HSPB11
rna-XM_014549781.1	gene-LRRC42	LRRC42
rna-XM_005878656.2	gene-LRRC42	LRRC42
rna-XM_005878659.2	gene-LRRC42	LRRC42
rna-XM_005878657.2	gene-LRRC42	LRRC42
rna-XM_014549782.1	gene-LRRC42	LRRC42
rna-XM_005878683.2	gene-LDLRAD1	LDLRAD1
rna-XM_014549777.1	gene-TMEM59	TMEM59
rna-XM_014549776.1	gene-TMEM59	TMEM59
rna-XM_014549778.1	gene-TMEM59	TMEM59
rna-XM_005878660.2	gene-TCEANC2	TCEANC2
rna-XM_014549779.1	gene-TCEANC2	TCEANC2
rna-XM_005878662.2	gene-CDCP2	CDCP2
rna-XR_001364508.1	gene-LOC106728229	LOC106728229
rna-XM_014549792.1	gene-LOC102263859	LOC102263859
rna-XM_014549793.1	gene-LOC102263859	LOC102263859
rna-XM_014549795.1	gene-LOC102263859	LOC102263859
rna-XM_014549796.1	gene-LOC102263859	LOC102263859
rna-XM_005878663.2	gene-LOC102263859	LOC102263859
rna-XR_001364507.1	gene-LOC102263859	LOC102263859
rna-XM_014549794.1	gene-LOC102263859	LOC102263859
rna-XM_014549750.1	gene-MRPL37	MRPL37
rna-XM_014549751.1	gene-SSBP3	SSBP3
rna-XR_001364506.1	gene-LOC106728228	LOC106728228
rna-XM_005878667.2	gene-ACOT11	ACOT11
gene-LOC102239339	gene-LOC102239339	LOC102239339
rna-XM_005878666.2	gene-FAM151A	FAM151A
rna-XM_005878686.2	gene-MROH7	MROH7
rna-XM_014549752.1	gene-TTC4	TTC4
rna-XM_005878671.2	gene-PARS2	PARS2
rna-XM_005878670.2	gene-PARS2	PARS2
rna-XM_014549753.1	gene-TTC22	TTC22
rna-XM_014549788.1	gene-LEXM	LEXM
rna-XM_005878690.2	gene-DHCR24	DHCR24
rna-XM_014549754.1	gene-LOC102240878	LOC102240878
rna-XM_014549755.1	gene-TMEM61	TMEM61
rna-XM_005878672.2	gene-BSND	BSND
rna-XM_014549772.1	gene-USP24	USP24
rna-XM_014549773.1	gene-USP24	USP24
rna-XM_014549771.1	gene-USP24	USP24
rna-XR_001364505.1	gene-LOC106728227	LOC106728227
gene-LOC102248277	gene-LOC102248277	LOC102248277
rna-XM_005878673.2	gene-LOC102241390	LOC102241390
gene-LOC102248569	gene-LOC102248569	LOC102248569
rna-XR_001364501.1	gene-LOC106728223	LOC106728223
rna-XM_005878693.2	gene-PLPP3	PLPP3
rna-XM_005878674.2	gene-PRKAA2	PRKAA2
gene-LOC102249468	gene-LOC102249468	LOC102249468
gene-LOC102249772	gene-LOC102249772	LOC102249772
gene-LOC102250364	gene-LOC102250364	LOC102250364
gene-LOC102249176	gene-LOC102249176	LOC102249176
gene-LOC102250669	gene-LOC102250669	LOC102250669
rna-XR_001364510.1	gene-LOC102251264	LOC102251264
rna-XM_014549800.1	gene-LOC102251264	LOC102251264
rna-XM_014549798.1	gene-LOC102251264	LOC102251264
rna-XM_014549799.1	gene-LOC102251264	LOC102251264
gene-LOC102251755	gene-LOC102251755	LOC102251755
rna-XM_005878697.2	gene-LOC102252057	LOC102252057
rna-XM_014549797.1	gene-LOC102252057	LOC102252057
gene-LOC102252635	gene-LOC102252635	LOC102252635
rna-XM_005878699.1	gene-LOC102252936	LOC102252936
rna-XR_001364509.1	gene-LOC106728230	LOC106728230
rna-XM_005878700.2	gene-CBX7	CBX7
rna-XM_005878701.2	gene-LOC102253539	LOC102253539
rna-XM_014549902.1	gene-ALOX12	ALOX12
rna-XM_005878703.2	gene-ALOX12	ALOX12
rna-XM_014549903.1	gene-ALOX12	ALOX12
rna-XM_005878705.2	gene-RNASEK	RNASEK
rna-XM_005878821.2	gene-LOC102261525	LOC102261525
rna-XM_005878706.2	gene-BCL6B	BCL6B
rna-XR_001364522.1	gene-LOC106728242	LOC106728242
rna-XM_005878707.2	gene-SLC16A13	SLC16A13
rna-XM_005878822.2	gene-SLC16A11	SLC16A11
rna-XM_005878823.2	gene-LOC102262127	LOC102262127
rna-XM_014549802.1	gene-LOC102262435	LOC102262435
rna-XM_014549883.1	gene-LOC102262753	LOC102262753
rna-XM_005878709.2	gene-CLEC10A	CLEC10A
rna-XR_001364521.1	gene-LOC106728241	LOC106728241
rna-XM_014549880.1	gene-ASGR2	ASGR2
rna-XM_005878712.2	gene-ASGR2	ASGR2
rna-XR_001364520.1	gene-ASGR2	ASGR2
rna-XM_014549881.1	gene-ASGR2	ASGR2
rna-XM_014549882.1	gene-ASGR2	ASGR2
gene-LOC102263056	gene-LOC102263056	LOC102263056
gene-LOC102263355	gene-LOC102263355	LOC102263355
rna-XM_014549803.1	gene-LOC102263665	LOC102263665
rna-XM_005878720.1	gene-DLG4	DLG4
rna-XM_014549865.1	gene-DLG4	DLG4
rna-XM_014549861.1	gene-DLG4	DLG4
rna-XM_005878722.1	gene-DLG4	DLG4
rna-XM_005878715.1	gene-DLG4	DLG4
rna-XM_005878718.1	gene-DLG4	DLG4
rna-XM_005878721.1	gene-DLG4	DLG4
rna-XM_014549864.1	gene-DLG4	DLG4
rna-XM_014549860.1	gene-DLG4	DLG4
rna-XM_014549862.1	gene-DLG4	DLG4
rna-XM_014549863.1	gene-DLG4	DLG4
rna-XM_005878716.2	gene-DLG4	DLG4
rna-XM_014549867.1	gene-ACADVL	ACADVL
rna-XM_014549866.1	gene-ACADVL	ACADVL
rna-XM_005878827.1	gene-DVL2	DVL2
gene-LOC102260663	gene-LOC102260663	LOC102260663
rna-XM_005878724.2	gene-PHF23	PHF23
rna-XM_005878723.2	gene-GABARAP	GABARAP
rna-XM_005878726.1	gene-CTDNEP1	CTDNEP1
rna-XM_005878828.2	gene-ELP5	ELP5
rna-XM_005878727.2	gene-CLDN7	CLDN7
rna-XM_014549884.1	gene-SLC2A4	SLC2A4
rna-XM_014549885.1	gene-YBX2	YBX2
rna-XM_014549869.1	gene-EIF5A	EIF5A
rna-XM_005878730.2	gene-GPS2	GPS2
rna-XM_014549804.1	gene-NEURL4	NEURL4
rna-XR_001364527.1	gene-LOC102261831	LOC102261831
rna-XR_001364525.1	gene-LOC102261831	LOC102261831
rna-XM_014549900.1	gene-LOC102261831	LOC102261831
rna-XR_001364526.1	gene-LOC102261831	LOC102261831
rna-XM_005878731.2	gene-ACAP1	ACAP1
rna-XM_014549899.1	gene-ACAP1	ACAP1
rna-XM_005878733.2	gene-KCTD11	KCTD11
rna-XM_005878832.2	gene-TMEM95	TMEM95
rna-XM_014549805.1	gene-TNK1	TNK1
rna-XM_014549806.1	gene-PLSCR3	PLSCR3
rna-XM_005878735.2	gene-TMEM256	TMEM256
rna-XM_005878734.2	gene-TMEM256	TMEM256
rna-XM_014549907.1	gene-TMEM256	TMEM256
rna-XR_314290.2	gene-LOC102262942	LOC102262942
rna-XM_014549890.1	gene-NLGN2	NLGN2
rna-XM_005878737.2	gene-SPEM1	SPEM1
rna-XM_005878738.1	gene-LOC102263755	LOC102263755
rna-XM_005878836.2	gene-TMEM102	TMEM102
rna-XM_005878740.2	gene-FGF11	FGF11
rna-XM_014549879.1	gene-FGF11	FGF11
rna-XM_014549875.1	gene-CHRNB1	CHRNB1
rna-XM_014549877.1	gene-CHRNB1	CHRNB1
rna-XM_014549876.1	gene-CHRNB1	CHRNB1
rna-XM_014549878.1	gene-CHRNB1	CHRNB1
rna-XM_005878744.2	gene-ZBTB4	ZBTB4
rna-XM_014549807.1	gene-SLC35G6	SLC35G6
rna-XM_005878745.2	gene-POLR2A	POLR2A
rna-XM_005878838.2	gene-TNFSF12	TNFSF12
rna-XM_014549850.1	gene-TNFSF13	TNFSF13
rna-XM_005878746.2	gene-TNFSF13	TNFSF13
rna-XM_014549852.1	gene-TNFSF13	TNFSF13
rna-XR_001364516.1	gene-LOC106728237	LOC106728237
rna-XM_005878750.2	gene-SENP3	SENP3
rna-XM_005878751.2	gene-EIF4A1	EIF4A1
rna-XM_005878752.2	gene-CD68	CD68
rna-XM_005878754.2	gene-MPDU1	MPDU1
rna-XM_005878756.2	gene-SOX15	SOX15
rna-XM_005878757.2	gene-FXR2	FXR2
rna-XM_005878758.2	gene-SAT2	SAT2
rna-XM_005878762.2	gene-LOC102243878	LOC102243878
rna-XM_014549839.1	gene-LOC102243878	LOC102243878
rna-XM_014549838.1	gene-LOC102243878	LOC102243878
rna-XM_014549836.1	gene-LOC102243878	LOC102243878
rna-XM_014549837.1	gene-LOC102243878	LOC102243878
rna-XM_005878763.2	gene-TP53	TP53
rna-XM_014549841.1	gene-TP53	TP53
rna-XM_014549842.1	gene-TP53	TP53
rna-XM_014549840.1	gene-WRAP53	WRAP53
rna-XM_005878764.2	gene-WRAP53	WRAP53
rna-XM_005878765.2	gene-EFNB3	EFNB3
rna-XM_005878766.2	gene-EFNB3	EFNB3
rna-XM_014549808.1	gene-DNAH2	DNAH2
rna-XR_001364511.1	gene-LOC106728235	LOC106728235
rna-XM_014549809.1	gene-KDM6B	KDM6B
rna-XM_005878767.2	gene-TMEM88	TMEM88
rna-XM_014549845.1	gene-NAA38	NAA38
rna-XM_005878768.2	gene-LOC102246589	LOC102246589
rna-XM_014549843.1	gene-LOC102246589	LOC102246589
rna-XM_014549844.1	gene-LOC102246589	LOC102246589
rna-XM_014549831.1	gene-CHD3	CHD3
rna-XM_014549832.1	gene-CHD3	CHD3
rna-XM_014549828.1	gene-CHD3	CHD3
rna-XM_014549835.1	gene-CHD3	CHD3
rna-XM_005878770.2	gene-CHD3	CHD3
rna-XM_014549821.1	gene-CHD3	CHD3
rna-XM_014549822.1	gene-CHD3	CHD3
rna-XM_014549823.1	gene-CHD3	CHD3
rna-XM_014549824.1	gene-CHD3	CHD3
rna-XM_014549825.1	gene-CHD3	CHD3
rna-XM_014549826.1	gene-CHD3	CHD3
rna-XM_014549827.1	gene-CHD3	CHD3
rna-XM_014549829.1	gene-CHD3	CHD3
rna-XM_014549830.1	gene-CHD3	CHD3
rna-XM_014549834.1	gene-CHD3	CHD3
rna-XM_014549833.1	gene-CHD3	CHD3
rna-XR_314293.2	gene-LOC102247197	LOC102247197
rna-XM_014549888.1	gene-KCNAB3	KCNAB3
rna-XM_014549887.1	gene-KCNAB3	KCNAB3
rna-XM_014549889.1	gene-TRAPPC1	TRAPPC1
rna-XM_005878773.2	gene-TRAPPC1	TRAPPC1
rna-XM_005878775.2	gene-CNTROB	CNTROB
rna-XM_005878776.2	gene-CNTROB	CNTROB
rna-XM_005878842.2	gene-GUCY2D	GUCY2D
rna-XM_005878777.2	gene-ALOX12B	ALOX12B
rna-XM_005878780.2	gene-ALOXE3	ALOXE3
rna-XM_014549906.1	gene-ALOXE3	ALOXE3
rna-TRNAK-UUU-3	gene-TRNAK-UUU-3	TRNAK-UUU
rna-TRNAQ-CUG-4	gene-TRNAQ-CUG-4	TRNAQ-CUG
rna-TRNAL-UAG-2	gene-TRNAL-UAG-2	TRNAL-UAG
rna-TRNAR-UCU-3	gene-TRNAR-UCU-3	TRNAR-UCU
rna-XM_005878778.2	gene-HES7	HES7
rna-XM_014549847.1	gene-HES7	HES7
rna-XR_001364512.1	gene-HES7	HES7
rna-XR_001364513.1	gene-HES7	HES7
rna-XM_014549848.1	gene-HES7	HES7
rna-TRNAG-GCC-7	gene-TRNAG-GCC-7	TRNAG-GCC
rna-TRNAS-CGA-2	gene-TRNAS-CGA-2	TRNAS-CGA
rna-XM_005878781.2	gene-PER1	PER1
rna-XM_014549873.1	gene-PER1	PER1
rna-XM_014549872.1	gene-PER1	PER1
rna-XM_014549871.1	gene-PER1	PER1
rna-XM_005878784.2	gene-PER1	PER1
rna-XM_014549874.1	gene-PER1	PER1
rna-XM_014549810.1	gene-VAMP2	VAMP2
rna-XM_014549894.1	gene-TMEM107	TMEM107
rna-XM_014549893.1	gene-TMEM107	TMEM107
rna-XR_001364524.1	gene-LOC106728244	LOC106728244
rna-TRNAW-CCA-4	gene-TRNAW-CCA-4	TRNAW-CCA
rna-TRNAS-GCU-5	gene-TRNAS-GCU-5	TRNAS-GCU
rna-TRNAT-AGU-4	gene-TRNAT-AGU-4	TRNAT-AGU
rna-TRNAI-AAU-5	gene-TRNAI-AAU-5	TRNAI-AAU
rna-XM_005878844.2	gene-BORCS6	BORCS6
rna-XM_014549910.1	gene-AURKB	AURKB
rna-XM_014549908.1	gene-AURKB	AURKB
rna-XM_014549909.1	gene-AURKB	AURKB
rna-XM_005878786.2	gene-AURKB	AURKB
rna-TRNAG-UCC-2	gene-TRNAG-UCC-2	TRNAG-UCC
rna-TRNAD-GUC-4	gene-TRNAD-GUC-4	TRNAD-GUC
rna-TRNAP-CGG	gene-TRNAP-CGG	TRNAP-CGG
rna-TRNAT-AGU-5	gene-TRNAT-AGU-5	TRNAT-AGU
rna-TRNAS-AGA-4	gene-TRNAS-AGA-4	TRNAS-AGA
rna-TRNAI-AAU-6	gene-TRNAI-AAU-6	TRNAI-AAU
rna-XM_005878787.2	gene-CTC1	CTC1
rna-XM_014549905.1	gene-PFAS	PFAS
rna-XM_014549904.1	gene-PFAS	PFAS
rna-XM_005878791.2	gene-RANGRF	RANGRF
rna-XM_014549897.1	gene-SLC25A35	SLC25A35
rna-XM_014549896.1	gene-SLC25A35	SLC25A35
rna-XM_014549898.1	gene-SLC25A35	SLC25A35
rna-XM_005878789.2	gene-SLC25A35	SLC25A35
rna-XM_005878792.2	gene-ARHGEF15	ARHGEF15
rna-XM_005878793.2	gene-ARHGEF15	ARHGEF15
rna-XM_005878794.2	gene-ARHGEF15	ARHGEF15
rna-XM_005878845.1	gene-ODF4	ODF4
rna-XM_005878795.2	gene-RPL26	RPL26
rna-XM_005878847.2	gene-RNF222	RNF222
rna-XM_014549849.1	gene-NDEL1	NDEL1
rna-XM_005878798.2	gene-NDEL1	NDEL1
rna-XM_005878797.2	gene-NDEL1	NDEL1
rna-XM_005878796.2	gene-NDEL1	NDEL1
gene-LOC102260949	gene-LOC102260949	LOC102260949
rna-XR_001364515.1	gene-LOC102254229	LOC102254229
rna-XM_014549811.1	gene-MYH10	MYH10
rna-XR_001364514.1	gene-LOC106728236	LOC106728236
rna-XM_005878799.1	gene-CCDC42	CCDC42
rna-XM_014549812.1	gene-MFSD6L	MFSD6L
rna-XM_014549813.1	gene-PIK3R6	PIK3R6
rna-XM_005878851.2	gene-PIK3R5	PIK3R5
gene-LOC102261235	gene-LOC102261235	LOC102261235
rna-XM_014549814.1	gene-NTN1	NTN1
rna-XR_001364523.1	gene-LOC106728243	LOC106728243
rna-XM_014549892.1	gene-STX8	STX8
rna-XM_005878801.2	gene-CFAP52	CFAP52
rna-XM_005878854.2	gene-USP43	USP43
rna-XM_005878803.2	gene-DHRS7C	DHRS7C
rna-XM_014549815.1	gene-GSG1L2	GSG1L2
rna-XM_014549816.1	gene-GLP2R	GLP2R
rna-XM_014549818.1	gene-LOC106728233	LOC106728233
rna-XM_005878804.2	gene-RCVRN	RCVRN
rna-XM_005878808.2	gene-GAS7	GAS7
rna-XM_005878810.2	gene-GAS7	GAS7
rna-XM_005878805.2	gene-GAS7	GAS7
rna-XM_005878811.2	gene-GAS7	GAS7
rna-XM_005878809.2	gene-GAS7	GAS7
rna-XR_001364517.1	gene-LOC106728239	LOC106728239
rna-XM_014549855.1	gene-MYH13	MYH13
rna-XM_005878812.2	gene-LOC102259256	LOC102259256
rna-XM_014549853.1	gene-LOC102259256	LOC102259256
rna-XM_005878816.2	gene-LOC102259256	LOC102259256
rna-XM_005878815.2	gene-LOC102258954	LOC102258954
rna-XM_005878818.2	gene-LOC102259746	LOC102259746
rna-XM_014549859.1	gene-LOC102260053	LOC102260053
rna-XM_014549858.1	gene-LOC102248279	LOC102248279
rna-XM_014549857.1	gene-LOC102248571	LOC102248571
rna-XM_014549856.1	gene-LOC102248571	LOC102248571
rna-XM_005878820.2	gene-ADPRM	ADPRM
rna-XM_014549819.1	gene-TMEM220	TMEM220
rna-XM_005878860.2	gene-PIRT	PIRT
rna-XM_014549820.1	gene-LOC106728234	LOC106728234
gene-LOC102252637	gene-LOC102252637	LOC102252637
gene-LOC102252938	gene-LOC102252938	LOC102252938
rna-XR_001364528.1	gene-LOC106728245	LOC106728245
rna-XM_005878861.2	gene-ZIC3	ZIC3
rna-XM_005878862.2	gene-SLC13A1	SLC13A1
rna-XM_014549921.1	gene-SLC13A1	SLC13A1
gene-LOC102255027	gene-LOC102255027	LOC102255027
rna-XM_005878867.1	gene-LOC102255341	LOC102255341
rna-XM_005878868.2	gene-LOC102255645	LOC102255645
rna-XM_005878869.1	gene-LOC102255941	LOC102255941
rna-XM_005878870.1	gene-LOC102256244	LOC102256244
rna-XM_014549916.1	gene-LOC102253849	LOC102253849
rna-XM_005878871.2	gene-LOC102256543	LOC102256543
rna-XR_001364529.1	gene-RNF133	RNF133
rna-XM_014549920.1	gene-RNF133	RNF133
rna-XM_005878864.2	gene-RNF148	RNF148
rna-XM_014549913.1	gene-CADPS2	CADPS2
rna-XM_014549914.1	gene-FEZF1	FEZF1
gene-LOC102257455	gene-LOC102257455	LOC102257455
rna-XM_014549919.1	gene-AASS	AASS
rna-XM_014549917.1	gene-AASS	AASS
rna-XM_014549918.1	gene-AASS	AASS
rna-XM_005878866.2	gene-AASS	AASS
rna-XM_014549915.1	gene-LOC102258071	LOC102258071
rna-XM_014549942.1	gene-FAM171A1	FAM171A1
rna-XM_014549944.1	gene-FAM171A1	FAM171A1
rna-XM_014549943.1	gene-FAM171A1	FAM171A1
rna-XM_005878875.2	gene-FAM171A1	FAM171A1
gene-LOC102238940	gene-LOC102238940	LOC102238940
rna-XM_014549935.1	gene-NMT2	NMT2
rna-XM_014549932.1	gene-NMT2	NMT2
rna-XM_014549934.1	gene-NMT2	NMT2
rna-XM_014549933.1	gene-NMT2	NMT2
rna-XR_001364534.1	gene-RPP38	RPP38
rna-XM_014549939.1	gene-RPP38	RPP38
rna-XM_014549937.1	gene-RPP38	RPP38
rna-XM_014549938.1	gene-RPP38	RPP38
rna-XM_014549940.1	gene-RPP38	RPP38
rna-XM_005878878.2	gene-RPP38	RPP38
rna-XM_014549936.1	gene-RPP38	RPP38
rna-XM_014549941.1	gene-ACBD7	ACBD7
rna-XM_005878898.2	gene-OLAH	OLAH
rna-XM_014549923.1	gene-MEIG1	MEIG1
rna-XM_005878879.2	gene-MEIG1	MEIG1
rna-XM_014549945.1	gene-DCLRE1C	DCLRE1C
rna-XM_005878880.2	gene-DCLRE1C	DCLRE1C
rna-XM_014549926.1	gene-SUV39H2	SUV39H2
rna-XM_014549927.1	gene-SUV39H2	SUV39H2
rna-XM_014549929.1	gene-SUV39H2	SUV39H2
rna-XR_001364533.1	gene-SUV39H2	SUV39H2
rna-XM_014549928.1	gene-SUV39H2	SUV39H2
gene-LOC102260363	gene-LOC102260363	LOC102260363
rna-XM_005878882.2	gene-HSPA14	HSPA14
rna-XR_001364531.1	gene-HSPA14	HSPA14
rna-XM_014549930.1	gene-LOC106728250	LOC106728250
rna-XM_005878899.2	gene-CDNF	CDNF
rna-XM_005878889.2	gene-FAM107B	FAM107B
rna-XM_005878888.2	gene-FAM107B	FAM107B
rna-XM_005878890.2	gene-FAM107B	FAM107B
gene-LOC102238619	gene-LOC102238619	LOC102238619
rna-XM_014549925.1	gene-FRMD4A	FRMD4A
rna-XM_005878894.2	gene-FRMD4A	FRMD4A
rna-XM_005878895.2	gene-FRMD4A	FRMD4A
rna-XM_005878893.2	gene-FRMD4A	FRMD4A
rna-XM_005878891.2	gene-FRMD4A	FRMD4A
rna-XM_014549924.1	gene-FRMD4A	FRMD4A
rna-XM_005878896.2	gene-FRMD4A	FRMD4A
rna-XR_001364530.1	gene-LOC106728249	LOC106728249
gene-LOC106728248	gene-LOC106728248	LOC106728248
rna-XM_014549922.1	gene-LOC106728246	LOC106728246
rna-XM_014549946.1	gene-LOC106728251	LOC106728251
rna-XM_014549947.1	gene-LOC106728251	LOC106728251
gene-LOC102240179	gene-LOC102240179	LOC102240179
gene-LOC102250066	gene-LOC102250066	LOC102250066
gene-LOC102250367	gene-LOC102250367	LOC102250367
rna-XM_005878931.2	gene-LOC102250671	LOC102250671
rna-XM_005878900.2	gene-PRMT2	PRMT2
rna-XM_005878902.2	gene-S100B	S100B
rna-XM_014549967.1	gene-S100B	S100B
rna-XM_005878904.2	gene-DIP2A	DIP2A
rna-XM_014549969.1	gene-DIP2A	DIP2A
rna-XM_014549968.1	gene-DIP2A	DIP2A
rna-XM_014549963.1	gene-PCNT	PCNT
rna-XM_014549961.1	gene-PCNT	PCNT
rna-XM_014549962.1	gene-PCNT	PCNT
rna-XM_014549958.1	gene-LOC102242497	LOC102242497
rna-XM_014549959.1	gene-LOC102242497	LOC102242497
rna-XM_005878909.2	gene-YBEY	YBEY
rna-XM_005878912.2	gene-YBEY	YBEY
rna-XM_005878914.2	gene-YBEY	YBEY
rna-XM_005878916.2	gene-YBEY	YBEY
rna-XM_014549965.1	gene-YBEY	YBEY
rna-XM_005878915.2	gene-YBEY	YBEY
rna-XM_005878910.2	gene-YBEY	YBEY
rna-XM_005878911.2	gene-YBEY	YBEY
rna-XM_005878913.2	gene-YBEY	YBEY
rna-XM_005878917.2	gene-MCM3AP	MCM3AP
rna-XM_014549964.1	gene-MCM3AP	MCM3AP
rna-XM_005878918.2	gene-LSS	LSS
rna-XR_001364537.1	gene-LOC106728258	LOC106728258
rna-XM_005878920.2	gene-SPATC1L	SPATC1L
rna-XM_005878921.2	gene-FTCD	FTCD
rna-XM_014549988.1	gene-FTCD	FTCD
rna-XM_014549948.1	gene-LOC106728253	LOC106728253
rna-XM_005878922.2	gene-COL6A2	COL6A2
rna-XM_005878932.2	gene-COL6A1	COL6A1
rna-XM_014549986.1	gene-PCBP3	PCBP3
